Company,Bluesky Handle,Display Name,Bio
Walmart,walmart.bsky.social,Walmart,Save money. Live better.
Amazon,amazon.bsky.social,,
Apple,apple.bsky.social,,
CVS Health,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='AccountTakedown', message='Account has been suspended'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2995', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '66', 'etag': 'W/""42-nj83NGC1Q139ua+FEjhI4a2cN68""', 'date': 'Mon, 03 Mar 2025 12:40:13 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
UnitedHealth Group,unitedhealthgroup.bsky.social,,
Exxon Mobil,exxonmobil.bsky.social,ExxonMobil,
Berkshire Hathaway,berkshirehathaway.bsky.social,Berkshire Hathaway,
Alphabet,alphabet.bsky.social,,
McKesson,mckesson.bsky.social,,
Chevron,chevron.bsky.social,,
AmerisourceBergen,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='InvalidRequest', message='Profile not found'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2988', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '56', 'etag': 'W/""38-tAZLZU2ZqXXtTINJ8yohUtX3PCk""', 'date': 'Mon, 03 Mar 2025 12:40:28 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Costco Wholesale,costcowholesale.bsky.social,IDEAL RED,"Psalm 139:21-24
Hits harder than four big dudes 
"
Microsoft,Not Found,Not Found,"Response(success=False, status_code=400, content=XrpcError(error='AccountTakedown', message='Account has been suspended'), headers={'x-powered-by': 'Express', 'access-control-allow-origin': '*', 'cache-control': 'private', 'vary': 'Authorization, Accept-Encoding', 'ratelimit-limit': '3000', 'ratelimit-remaining': '2986', 'ratelimit-reset': '1741005906', 'ratelimit-policy': '3000;w=300', 'content-type': 'application/json; charset=utf-8', 'content-length': '66', 'etag': 'W/""42-nj83NGC1Q139ua+FEjhI4a2cN68""', 'date': 'Mon, 03 Mar 2025 12:40:32 GMT', 'keep-alive': 'timeout=90', 'strict-transport-security': 'max-age=63072000'})"
Cardinal Health,cardinalhealth.bsky.social,,To rescue this account contact bskyrescue@gmail.com
Cigna,cigna.bsky.social,Jacques Perrault,
